"Title","Description","Priority","Estimate","Status","Labels"
"Positions schema: Position, UserPosition, and retired keys","**Ticket:** AUTH-T11  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

**Position**: `id` (uuid v7), `key` (unique, immutable, regex `^[a-z0-9]+(?:-[a-z0-9]+)*$`, 2–64 chars), `name` (display, 2–100 chars, editable), `category` (optional text for admin grouping), `description` (optional), `deletedAt` (soft delete), `createdById`, `updatedById`, timestamps.
**UserPosition**: composite PK (`userId`, `positionId`), `assignedById`, `assignedAt`. Unassignment deletes the row; history lives in the audit log. Soft-deleting a position keeps rows for history but they are excluded from sessions.
**RetiredPositionKey**: `key`, `retiredAt`, `positionId` — written on soft delete; the service layer refuses reuse of a key retired less than 365 days ago.
DB-level: partial unique index on `Position(key) WHERE deletedAt IS NULL`; CHECK constraint on key format; trigger or service check enforcing a maximum of 50 active positions per user.

**Acceptance criteria**
- [ ] Creating a position with an invalid key or a key retired within 365 days fails at the service layer with a specific error code (and the DB rejects malformed keys).
- [ ] A user cannot hold more than 50 active positions (test at the boundary).
- [ ] Soft-deleted positions never appear in session or JWT output (covered by AUTH-T45).","High","3","Backlog","epic:data-model, phase:1, backend, prisma, positions"
"Primary Admin invariants at the database level and the PrimaryAdminTransfer table","**Ticket:** AUTH-T12  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

Enforce in Postgres, independent of application code:
- Partial unique index: exactly one row may have `isPrimaryAdmin = true` (`CREATE UNIQUE INDEX one_primary_admin ON ""User"" ((true)) WHERE ""isPrimaryAdmin""`).
- Trigger `protect_primary_admin` BEFORE UPDATE/DELETE on User: reject setting `isAdmin = false`, `status = DEACTIVATED`, or deleting the row while `isPrimaryAdmin = true`; reject clearing `isPrimaryAdmin` unless the transaction has set the session variable `sgauth.pa_transfer = 'on'` (set only by the transfer service and the break-glass script).
**PrimaryAdminTransfer**: `id`, `fromUserId`, `toUserId`, `status` (PENDING_ACCEPTANCE | COOLING | COMPLETED | CANCELLED | EXPIRED), `createdAt`, `acceptanceExpiresAt` (+7 days), `acceptedAt`, `executesAt` (acceptedAt + 24 h), `cancelTokenHash`, `completedAt`, `cancelledAt`, `cancelledById`, `reason`. Partial unique index allowing at most one transfer in PENDING_ACCEPTANCE or COOLING.

**Acceptance criteria**
- [ ] SQL tests: inserting a second Primary Admin fails; updating the PA to non-admin fails; deleting the PA fails; a transfer inside a transaction with the session variable set succeeds and leaves exactly one PA.
- [ ] At most one in-flight transfer can exist (unique index test).
- [ ] Migration is reversible and documented with the reasoning in a comment header.","High","3","Backlog","epic:data-model, phase:1, backend, prisma, admin, security"
"Append-only AuditEvent table","**Ticket:** AUTH-T13  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

**AuditEvent**: `id` (uuid v7), `type` (string enum from the event catalog in AUTH-T73), `actorUserId` (nullable; null for system/break-glass), `actorType` (USER | SYSTEM | BREAK_GLASS), `targetType` (USER | POSITION | PRODUCT | SESSION | TRANSFER), `targetId`, `metadata` (jsonb, no secrets), `ip`, `userAgent`, `createdAt`. Index on (`type`, `createdAt`), (`actorUserId`, `createdAt`), (`targetType`, `targetId`, `createdAt`).
Append-only: a trigger rejects UPDATE and DELETE except for the anonymization job (AUTH-T78), which may null `ip`/`userAgent` and replace user-identifying metadata when a user is tombstoned, gated by the same session-variable pattern as AUTH-T12. The session-variable gate protects against accidental writes from application code; it is not a security boundary against anyone holding the database role.
`type` is validated in TypeScript against the catalog (AUTH-T73), not by a DB CHECK, so adding an event type does not require a migration.

**Acceptance criteria**
- [ ] UPDATE/DELETE on AuditEvent fails from the runtime role (test), while the anonymization path succeeds.
- [ ] A unit test rejects emitting an event whose `type` is not in the catalog.","High","2","Backlog","epic:data-model, phase:1, backend, prisma, audit"
"Product registry schema","**Ticket:** AUTH-T14  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

**Product**: `id`, `slug` (unique, kebab-case), `name`, `description`, `baseUrl` (must be `https://` and end with `.northeasternsga.com`; validated in service and by CHECK), `iconUrl` (optional, https only), `isActive`, `sortOrder`, `visibleToPositionKeys` (text[]; empty = visible to everyone), `loginRedirectPath` (optional path appended after login), `createdById`, timestamps. Seed the dev branch with SGAuth itself plus VaultZ, Chambers, Aplio placeholders.

**Acceptance criteria**
- [ ] Inserting a product with an http:// or non-northeasternsga.com base URL fails.
- [ ] Slug uniqueness enforced; renames of `name` do not change `slug`.","Medium","2","Backlog","epic:data-model, phase:2, backend, prisma, registry"
"Security tables: AccountLock, UnlockToken, Jwks, TwoFactor","**Ticket:** AUTH-T15  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

- **AccountLock**: `userId` (PK), `failedCount`, `windowStartedAt`, `lockedUntil`, `lockLevel` (0..N for escalation), `lastFailedAt`, `lastFailedIp`.
- **UnlockToken**: `id`, `userId`, `tokenHash`, `expiresAt`, `usedAt`.
- **Jwks** and **TwoFactor** tables as required by the Better Auth jwt and twoFactor plugins (generate via `npx @better-auth/cli generate` and reconcile with Prisma naming).
- **KnownDevice** (see AUTH-T10) for the lockout exemption.
- No rate-limit table: rate limiting uses Upstash (AUTH-T63); disable Better Auth's DB-backed limiter storage.

**Acceptance criteria**
- [ ] Plugin schema validation passes for jwt and twoFactor at startup.
- [ ] Unlock tokens are stored hashed (SHA-256) and single-use (test).","Medium","2","Backlog","epic:data-model, phase:1, backend, prisma, security"
"Migration workflow: deploy in build, never migrate dev against production","**Ticket:** AUTH-T16  
**Epic:** E2 Data Model & Migrations  
**Phase:** Phase 0 — Foundation  
**Depends on:** AUTH-T04 (Configure Prisma 7 for Neon (pooled runtime, direct migrations)); AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching)

Document and enforce: developers run `prisma migrate dev` only against personal/preview Neon branches; production and dev deployments run `prisma migrate deploy` during the Vercel build using `DIRECT_URL`. Add a guard script that aborts `migrate dev`/`db push`/`migrate reset` when `SGAUTH_ENV=production` or when `DIRECT_URL` points at the `main` branch host. Write `docs/MIGRATIONS.md` including how to hand-edit generated SQL for triggers/indexes Prisma cannot express, and the **expand/contract rule**: migrations run during the build while the previous deployment is still serving traffic, so every migration must be backward-compatible with the currently deployed code (add columns nullable first, drop in a later release).

**Acceptance criteria**
- [ ] Running `npm run prisma:migrate-dev` with a production `DIRECT_URL` exits non-zero before touching the database (test with a fake host).
- [ ] Vercel production build logs show `migrate deploy` applying pending migrations.","Medium","1","Backlog","epic:data-model, phase:0, backend, prisma, docs"
"Email + password sign-in and self-sign-up restricted to northeastern.edu","**Ticket:** AUTH-T17  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler); AUTH-T10 (Core schema: User plus Better Auth Session, Account, and Verification tables)

Enable `emailAndPassword` in Better Auth: `minPasswordLength: 12`, `maxPasswordLength: 128`, default scrypt hashing, `requireEmailVerification: true`, `autoSignIn: false` after sign-up.
- Self-sign-up: a `databaseHooks.user.create.before` hook rejects emails whose domain is not `northeastern.edu` (exact match, lower-cased) unless the creation is admin/import initiated (flag passed via context). Admin-created users may have any domain.
- Normalize email (trim, lower-case) before lookup and storage.
- New self-signed-up users have no positions and no admin flags.
- Deactivated users are refused at sign-in and at session creation (`session.create.before` hook) with a stable error code.
- Record `lastLoginAt` and emit audit events for LOGIN_SUCCESS / LOGIN_FAILED (AUTH-T73).
- **Account pre-hijack defense (red-team):** with `requireEmailVerification`, Better Auth answers a sign-up for an existing email with success (enumeration protection). If that existing account is still **unverified**, the new sign-up must overwrite its password and name (the address owner is whoever verifies), and verification must revoke every existing session. Verified accounts are never overwritten.
- Note: Better Auth re-sends the verification email on every sign-in attempt by an unverified user; the mailer's per-recipient caps (AUTH-T20) and sign-in rate limits (AUTH-T63) bound the abuse.
No breached-password (HIBP) check, per decision.

**Acceptance criteria**
- [ ] Sign-up with `x@gmail.com` is rejected with `EMAIL_DOMAIN_NOT_ALLOWED`; `x@northeastern.edu` succeeds and requires verification before login.
- [ ] Passwords under 12 characters are rejected client- and server-side.
- [ ] A deactivated user cannot sign in and any existing session returns 401 from the session endpoint.
- [ ] Pre-hijack test: attacker signs up with victim's email + password A; victim signs up with password B and verifies; password A no longer works and B does.
- [ ] Integration tests cover success, wrong password, unverified email, deactivated user, and domain rejection.","Urgent","3","Backlog","epic:auth-core, phase:1, backend, better-auth"
"Email verification for self-sign-up with resend limits","**Ticket:** AUTH-T18  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T103 (Scanner-safe email links: land on a page, consume the token on POST)

Send a verification email on sign-up via the mailer (AUTH-T20) with a link valid for 24 hours; the link lands on a confirmation page and the token is consumed only on the button POST (AUTH-T103, Safe Links). Verifying revokes any pre-existing sessions, logs the user in, and redirects to the validated `redirect` target (AUTH-T31) or the account page. Resend is limited to 3 per address per hour (Upstash key `verify:<email>`). Unverified accounts older than 7 days are purged by the retention job (AUTH-T78). The UI shows the same message whether or not the address exists.

**Acceptance criteria**
- [ ] Clicking the link verifies the address once; a second click shows an already-verified message; expired links show a resend option.
- [ ] Fourth resend within an hour returns 429 without sending.","High","2","Backlog","epic:auth-core, phase:1, backend, email"
"Password reset flow","**Ticket:** AUTH-T19  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T103 (Scanner-safe email links: land on a page, consume the token on POST)

Forgot-password request (email only; uniform response regardless of existence), reset token valid 1 hour, single use, delivered by email; the token is consumed only when the new-password form is submitted, never on link open (AUTH-T103). On successful reset: set `passwordChangedAt`, revoke all other sessions, clear any account lock, send a security notice email, emit PASSWORD_RESET audit event. Rate limit: 3 requests per email per 10 minutes and per IP (AUTH-T63). Imported bcrypt accounts (AUTH-T21) reset to scrypt.

**Acceptance criteria**
- [ ] Reset for a non-existent email returns the same response and timing profile (within 50 ms) as for an existing one.
- [ ] Using a token twice fails; after reset, previously issued session cookies are rejected.
- [ ] Audit and notice email are produced (asserted with the test mailer).","High","3","Backlog","epic:auth-core, phase:1, backend, email, security"
"Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps","**Ticket:** AUTH-T20  
**Epic:** E3 Authentication Core  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T07 (Validate environment variables at startup with zod)

Password login keeps email volume low (verification, reset, set-password, lock/unlock, security notices, PA transfer steps). Chambers sends almost all of SGA's current email, and Resend's free quota is **per account**, so a separate API key inside the shared account would not isolate anything. Therefore:
- **Separate Resend account** owned by an SGA shared mailbox (not a student's personal login), credentials in the team vault. Confirm once that Resend's terms permit a distinct account for a distinct sender and record the answer here.
- Dedicated sending subdomain `mail.northeasternsga.com` verified only in that account, with SPF, DKIM, and DMARC (p=quarantine) records; `from` = `SGA Auth <no-reply@mail.northeasternsga.com>`.
- `src/lib/email/mailer.ts` provider-agnostic interface (`sendEmail({ to, template, data })`) with a Resend implementation and a console/preview transport for local/test.
- Templates (React Email or plain HTML+text): verify, reset, invite/set-password, account locked, unlock, security notice (password changed / new admin grant), PA transfer initiated / accepted / cancelled / completed, inactivity notice.
- Caps: per-recipient 10 emails per hour and 30 per day; global daily cap (env, default 500) with an alert at 80%. Log every send with template and recipient hash to the log stream.

**Acceptance criteria**
- [ ] SGAuth sends from its own Resend account, owned by an SGA shared mailbox; its usage does not appear in the Chambers/Aplio account.
- [ ] DKIM/SPF/DMARC verified in the Resend dashboard; a test email to Gmail and Outlook lands in the inbox with aligned DMARC.
- [ ] Exceeding the per-recipient cap is refused with a logged warning, not an exception to the user.
- [ ] All templates render in both HTML and text and are snapshot-tested.","High","3","Backlog","epic:auth-core, phase:1, backend, email, infra"
"Accept imported Chambers bcrypt hashes with lazy re-hash to scrypt","**Ticket:** AUTH-T21  
**Epic:** E3 Authentication Core  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu)

Supabase Auth (GoTrue) stores bcrypt hashes (`$2a$`/`$2b$`). Configure Better Auth `emailAndPassword.password.verify`: if the stored hash starts with `bcrypt$` (marker set by the import, AUTH-T87), verify with `bcryptjs`; on success, re-hash the plaintext with scrypt and update the Account row in the same request, then emit PASSWORD_REHASHED. Otherwise use the default scrypt verify. Never log plaintext. Remove the bcrypt path after all imported accounts have re-hashed or been reset (tracked by a metric).

**Acceptance criteria**
- [ ] A user imported with a bcrypt hash can log in with their Chambers password on the first try and their Account row is scrypt afterwards.
- [ ] Wrong password against a bcrypt hash fails without re-hashing.
- [ ] A metric/query reports how many `bcrypt$` hashes remain.","High","2","Backlog","epic:auth-core, phase:3, backend, migration, security"
